pop_est,continent,name,iso_a3,gdp_md_est,geometry
889953.0,Oceania,Fiji,FJI,5496,"MULTIPOLYGON (((180 -16.067132663642447, 180 -16.555216566639196, 179.36414266196414 -16.801354076946883, 178.72505936299711 -17.01204167436804, 178.59683859511713 -16.639150000000004, 179.0966093629971 -16.433984277547403, 179.4135093629971 -16.379054277547404, 180 -16.067132663642447)), ((178.12557 -17.50481, 178.3736 -17.33992, 178.71806 -17.62846, 178.55271 -18.15059, 177.93266000000003 -18.28799, 177.38146 -18.16432, 177.28504 -17.72465, 177.67087 -17.381140000000002, 178.12557 -17.50481)), ((-179.79332010904864 -16.020882256741224, -179.9173693847653 -16.501783135649397, -180 -16.555216566639196, -180 -16.067132663642447, -179.79332010904864 -16.020882256741224)))"
58005463.0,Africa,Tanzania,TZA,63177,"POLYGON ((33.90371119710453 -0.9500000000000001, 34.07261999999997 -1.0598199999999451, 37.69868999999994 -3.0969899999999484, 37.7669 -3.6771200000000004, 39.20222 -4.67677, 38.74053999999995 -5.9089499999999475, 38.79977000000008 -6.475660000000005, 39.44 -6.839999999999861, 39.47000000000014 -7.099999999999966, 39.19468999999998 -7.703899999999976, 39.25203000000005 -8.00780999999995, 39.18652000000009 -8.48550999999992, 39.53574000000009 -9.112369999999885, 39.94960000000003 -10.098400000000026, 40.316586229110854 -10.317097752817492, 40.31659000000002 -10.317099999999868, 39.52099999999996 -10.89688000000001, 38.42755659358775 -11.285202325081656, 37.827639999999974 -11.26878999999991, 37.471289999999954 -11.568759999999997, 36.775150994622805 -11.594537448780805, 36.51408165868426 -11.720938002166735, 35.31239790216904 -11.439146416879147, 34.55998904799935 -11.520020033415925, 34.27999999999997 -10.160000000000025, 33.940837724096525 -9.693673841980285, 33.73972000000009 -9.417149999999992, 32.75937544122132 -9.23059905358906, 32.19186486179194 -8.930358981973257, 31.556348097466497 -8.762048841998642, 31.15775133695005 -8.594578747317366, 30.740009731422095 -8.34000593035372, 30.74001549655179 -8.340007419470915, 30.199996779101696 -7.079980970898163, 29.620032179490014 -6.520015150583426, 29.419992710088167 -5.939998874539434, 29.519986606572928 -5.419978936386315, 29.339997592900346 -4.4999834122940925, 29.753512404099865 -4.452389418153302, 30.11632000000003 -4.090120000000013, 30.505539999999996 -3.5685799999999404, 30.752240000000086 -3.3593099999999936, 30.743010000000027 -3.034309999999948, 30.527660000000026 -2.807619999999986, 30.469673645761223 -2.41385475710134, 30.469670000000008 -2.4138299999999617, 30.75830895358311 -2.2872502579883687, 30.816134881317712 -1.6989140763453887, 30.419104852019245 -1.1346591121504161, 30.769860000000108 -1.0145499999999856, 31.866170000000068 -1.0273599999999306, 33.90371119710453 -0.9500000000000001))"
603253.0,Africa,W. Sahara,ESH,907,"POLYGON ((-8.665589565454809 27.656425889592356, -8.665124477564191 27.589479071558227, -8.684399786809053 27.395744126896005, -8.6872936670174 25.881056219988906, -11.96941891117116 25.933352769468268, -11.937224493853321 23.374594224536168, -12.874221564169575 23.284832261645178, -13.118754441774712 22.771220201096256, -12.929101935263532 21.327070624267563, -16.845193650773993 21.33332347257488, -17.06342322434257 20.999752102130827, -17.02042843267577 21.422310288981578, -17.00296179856109 21.420734157796577, -14.750954555713534 21.500600083903663, -14.630832688851072 21.860939846274903, -14.221167771857253 22.31016307218816, -13.891110398809047 23.691009019459305, -12.50096269372537 24.7701162785782, -12.03075883630163 26.030866197203068, -11.718219773800357 26.104091701760623, -11.392554897497007 26.883423977154393, -10.551262579785273 26.990807603456886, -10.189424200877582 26.860944729107405, -9.735343390328879 26.860944729107405, -9.41303748212448 27.088476060488574, -8.794883999049077 27.120696316022507, -8.817828334986672 27.656425889592356, -8.665589565454809 27.656425889592356))"
37589262.0,North America,Canada,CAN,1736425,"MULTIPOLYGON (((-122.84000000000003 49.000000000000114, -122.97421000000001 49.00253777777778, -124.91024 49.98456, -125.62461 50.416560000000004, -127.43561000000001 50.83061, -127.99276 51.71583, -127.85032 52.32961, -129.12979 52.75538, -129.30523 53.561589999999995, -130.51497 54.28757, -130.53610895273684 54.80275447679924, -130.53611 54.802780000000006, -129.98 55.285000000000004, -130.00778000000003 55.915830000000085, -131.70781 56.55212, -132.73042 57.692890000000006, -133.35556000000003 58.41028000000001, -134.27111000000002 58.86111000000005, -134.94500000000005 59.2705600000001, -135.47583 59.787780000000005, -136.47972000000004 59.46389000000005, -137.4525 58.905, -138.34089 59.562110000000004, -139.03900000000002 60, -140.013 60.27682000000001, -140.99778 60.30639000000001, -140.9925 66.00003000000001, -140.986 69.712, -140.98598761037601 69.71199839952635, -139.12052 69.47102, -137.54636000000002 68.99002, -136.50358 68.89804, -135.62576 69.31512000000001, -134.41464000000002 69.62743, -132.92925000000002 69.50534, -131.43135999999998 69.94451, -129.79471 70.19369, -129.10773 69.77927000000001, -128.36156 70.01286, -128.13817 70.48384, -127.44712000000001 70.37721, -125.75632000000002 69.48058, -124.42483 70.1584, -124.28968 69.39968999999999, -123.06108 69.56372, -122.6835 69.85553, -121.47226 69.79778, -119.94288 69.37786, -117.60268 69.01128, -116.22643 68.84151, -115.24690000000001 68.90591, -113.89793999999999 68.3989, -115.30489 67.90261000000001, -113.49727 67.68815000000001, -110.798 67.80611999999999, -109.94619 67.98104000000001, -108.8802 67.38144, -107.79239 67.88736, -108.81299 68.31164, -108.16721000000001 68.65392, -106.95 68.7, -106.15 68.8, -105.34282000000002 68.56122, -104.33791000000001 68.018, -103.22115000000001 68.09775, -101.45433 67.64689, -99.90195 67.80566, -98.4432 67.78165, -98.5586 68.40394, -97.66948000000001 68.57864000000001, -96.11991 68.23939, -96.12588 67.29338, -95.48943 68.0907, -94.685 68.06383, -94.23282000000002 69.06903000000001, -95.30408 69.68571, -96.47131 70.08976, -96.39115 71.19482, -95.2088 71.92053, -93.88997 71.76015, -92.87818 71.31869, -91.51964000000001 70.19129000000001, -92.40692000000001 69.69997000000001, -90.5471 69.49766, -90.55151000000001 68.47499, -89.21515 69.25873, -88.01966 68.61508, -88.31748999999999 67.87338000000001, -87.35017 67.19872, -86.30606999999999 67.92146, -85.57664 68.78456, -85.52197 69.88211, -84.10081000000001 69.80539, -82.62258 69.65826, -81.28043000000001 69.16202000000001, -81.22019999999999 68.66567, -81.96436000000001 68.13253, -81.25928 67.59716, -81.38653000000001 67.11078, -83.34456 66.41154, -84.73542 66.2573, -85.76943 66.55833, -86.06760000000001 66.05625, -87.03143 65.21297, -87.32324 64.77563, -88.48296 64.09897000000001, -89.91444 64.03273, -90.70398 63.610170000000004, -90.77004000000001 62.960210000000004, -91.93342 62.83508, -93.15698 62.02469000000001, -94.24153 60.89865, -94.62930999999999 60.11021, -94.6846 58.94882, -93.21502000000001 58.78212, -92.76462000000001 57.84571, -92.29702999999999 57.08709, -90.89769 57.28468, -89.03953 56.85172, -88.03978000000001 56.47162, -87.32421 55.999140000000004, -86.07121 55.72383, -85.01181000000001 55.302600000000005, -83.36055 55.24489, -82.27285 55.14832, -82.43620000000001 54.282270000000004, -82.12502 53.27703, -81.40075 52.157880000000006, -79.91289 51.208420000000004, -79.14301 51.533930000000005, -78.60191 52.56208, -79.12421 54.14145, -79.82958 54.66772, -78.22874 55.136449999999996, -77.0956 55.83741, -76.54137 56.53423000000001, -76.62319000000001 57.20263, -77.30226 58.05209, -78.51688 58.80458, -77.33676 59.852610000000006, -77.77272 60.75788000000001, -78.10687 62.31964000000001, -77.41067 62.55053, -75.69621000000001 62.2784, -74.6682 62.181110000000004, -73.83988000000001 62.4438, -72.90853 62.10507, -71.67708 61.52535, -71.37369000000001 61.137170000000005, -69.59042 61.06141, -69.62033 60.221250000000005, -69.28790000000001 58.95736, -68.37455 58.80106, -67.64976 58.21206, -66.20178 58.76731, -65.24517 59.87071, -64.58352000000001 60.33558, -63.804750000000006 59.442600000000006, -62.502359999999996 58.16708, -61.396550000000005 56.96745000000001, -61.798660000000005 56.33945, -60.46853 55.775479999999995, -59.56962 55.20407, -57.97508 54.94549000000001, -57.3332 54.6265, -56.93689 53.780319999999996, -56.15811 53.647490000000005, -55.75632 53.27036, -55.68338 52.146640000000005, -56.40916000000001 51.770700000000005, -57.12691 51.419720000000005, -58.77482 51.0643, -60.03309000000001 50.24277, -61.72366 50.08046, -63.86251 50.29099, -65.36331 50.2982, -66.39905 50.228970000000004, -67.23631 49.511559999999996, -68.51114 49.068360000000006, -69.95362 47.74488, -71.10458 46.82171, -70.25522 46.986059999999995, -68.65 48.3, -66.55243 49.1331, -65.05626 49.232780000000005, -64.17099 48.74248, -65.11545000000001 48.07085, -64.79854 46.99297, -64.47219 46.238490000000006, -63.17329000000001 45.73902, -61.520720000000004 45.883770000000005, -60.518150000000006 47.00793, -60.448600000000006 46.28264, -59.80287 45.9204, -61.03988 45.265249999999995, -63.254709999999996 44.67014, -64.24656 44.265530000000005, -65.36406000000001 43.54523, -66.1234 43.61867, -66.16173 44.46512, -64.42549 45.29204, -66.02605000000001 45.25931, -67.13741 45.13753, -67.79134 45.70281000000001, -67.79046000000001 47.066359999999996, -68.23444 47.354859999999974, -68.90500000000003 47.18500000000006, -69.237216 47.447781, -69.99997 46.69307, -70.305 45.915, -70.66 45.46, -71.08482000000004 45.30524000000014, -71.405 45.254999999999995, -71.50506 45.0082, -73.34783 45.00738, -74.86700000000002 45.000480000000096, -75.31821000000001 44.81645, -76.375 44.09631, -76.50000000000001 44.01845889375865, -76.82003414580558 43.628784288093755, -77.7378850979577 43.62905558936328, -78.72027991404235 43.62508942318493, -79.17167355011186 43.46633942318426, -79.01 43.27, -78.92 42.964999999999996, -78.93936214874375 42.86361135514798, -80.24744767934794 42.36619985612255, -81.27774654816716 42.209025987306816, -82.4392777167916 41.675105088867326, -82.69008928092023 41.675105088867326, -83.029810146807 41.83279572200598, -83.14199968131264 41.975681057292874, -83.12 42.08, -82.9 42.43, -82.42999999999999 42.980000000000004, -82.13764238150395 43.57108755143997, -82.33776312543114 44.440000000000055, -82.55092464875821 45.34751658790543, -83.59285071484311 45.81689362241252, -83.46955074739469 45.994686387712534, -83.61613094759059 46.116926988299014, -83.89076534700574 46.116926988299014, -84.0918512641615 46.27541860613826, -84.1421195136734 46.51222585711571, -84.33670000000001 46.408770000000004, -84.60490000000004 46.439599999999984, -84.54374874544584 46.538684190449146, -84.77923824739992 46.63710195574902, -84.8760798815149 46.90008331968238, -85.65236324740341 47.22021881773051, -86.46199083122826 47.553338019392, -87.43979262330028 47.94, -88.37811418328671 48.302917588893706, -89.27291744663665 48.01980825458281, -89.60000000000002 48.010000000000105, -90.83 48.27, -91.64 48.14, -92.61000000000001 48.44999999999993, -93.63087000000002 48.609260000000006, -94.32914000000001 48.67074, -94.64 48.84, -94.81758000000002 49.38905, -95.15609 49.38425000000001, -95.15906950917206 49, -97.2287200000048 49.0007, -100.65000000000003 49.000000000000114, -104.04826000000003 48.99986000000007, -107.05000000000001 49, -110.05000000000001 49, -113 49, -116.04818 49, -117.03121 49, -120 49.000000000000114, -122.84000000000003 49.000000000000114)), ((-83.99367000000001 62.452799999999996, -83.25048 62.91409, -81.87699 62.90458, -81.89825 62.7108, -83.06857000000001 62.159220000000005, -83.77462000000001 62.18231, -83.99367000000001 62.452799999999996)), ((-79.77583312988281 72.8029022216797, -80.87609863281251 73.33318328857422, -80.83388519287111 73.69318389892578, -80.35305786132812 73.75971984863281, -78.06443786621094 73.65193176269531, -76.34 73.10268498995305, -76.25140380859375 72.82638549804688, -77.31443786621094 72.85554504394531, -78.39167022705078 72.87665557861328, -79.4862518310547 72.74220275878906, -79.77583312988281 72.8029022216797)), ((-80.315395 62.08556500000001, -79.92939 62.3856, -79.52002 62.363710000000005, -79.26582 62.158674999999995, -79.65752 61.63308, -80.09956000000001 61.71810000000001, -80.36215 62.016490000000005, -80.315395 62.08556500000001)), ((-93.61275590694046 74.97999726022438, -94.15690873897391 74.59234650338688, -95.60868058956564 74.66686391875176, -96.82093217648455 74.92762319609658, -96.28858740922982 75.37782827422338, -94.85081987178917 75.64721751576089, -93.97774654821797 75.29648956979595, -93.61275590694046 74.97999726022438)), ((-93.84000301794399 77.51999726023455, -94.29560828324529 77.49134267852868, -96.16965410031007 77.55511139597685, -96.43630449093614 77.83462921824362, -94.42257727738641 77.820004787905, -93.7206562975659 77.63433136668031, -93.84000301794399 77.51999726023455)), ((-96.75439876990876 78.76581268992702, -95.5592779202946 78.41831452098033, -95.83029496944934 78.05694122996324, -97.30984290239799 77.85059723582181, -98.12428931353404 78.08285696075761, -98.55286780474668 78.45810537384507, -98.63198442258553 78.87193024363837, -97.33723141151266 78.83198436147676, -96.75439876990876 78.76581268992702)), ((-88.15035030796028 74.39230703398503, -89.7647220527584 74.51555532500116, -92.42244096552946 74.83775788034099, -92.76828548864282 75.38681997344214, -92.88990597204175 75.88265534128267, -93.89382402217599 76.31924367950056, -95.9624574450358 76.4413809272224, -97.1213789538295 76.7510777859476, -96.74512285031237 77.16138865834507, -94.68408586299944 77.09787832305837, -93.57392106807313 76.77629588490605, -91.6050231595366 76.7785179714946, -90.7418458727493 76.44959747995681, -90.96966142450802 76.07401317005947, -89.82223792189926 75.84777374948565, -89.18708289259985 75.61016551380762, -87.83827633334965 75.56618886992725, -86.37919226758864 75.4824213731821, -84.78962521029058 75.69920400664653, -82.75344458691006 75.78431509063124, -81.12853084992436 75.71398346628199, -80.05751095245915 75.33684886341591, -79.83393286814837 74.92312734648716, -80.45777075877587 74.65730377877777, -81.94884253612557 74.44245901152432, -83.22889360221143 74.56402781849094, -86.09745235873332 74.41003205026117, -88.15035030796028 74.39230703398503)), ((-111.26444332563088 78.15295604116154, -109.85445187054711 77.99632477488488, -110.18693803591302 77.69701487905034, -112.0511911690585 77.4092288276169, -113.53427893761912 77.73220652944111, -112.7245867582539 78.05105011668196, -111.26444332563088 78.15295604116154)), ((-110.96366065147602 78.8044408230652, -109.6631457182026 78.60197256134565, -110.88131425661892 78.40691986765997, -112.54209143761516 78.4079017198735, -112.52589087609164 78.55055451121522, -111.5000103422334 78.8499935981305, -110.96366065147602 78.8044408230652)), ((-55.600218268442056 51.31707469339794, -56.13403581401709 50.68700979267928, -56.795881720595276 49.81230866149089, -56.14310502788433 50.15011749938286, -55.471492275603 49.93581533466846, -55.82240108908096 49.58712860777905, -54.935142584845636 49.3130109726868, -54.473775397343786 49.556691189159125, -53.47654944519137 49.24913890237404, -53.786013759971254 48.516780503933624, -53.08613399922626 48.68780365660358, -52.958648240762216 48.15716421161447, -52.64809872090421 47.53554840757552, -53.069158291218386 46.65549876564492, -53.521456264853 46.61829173439477, -54.17893551290251 46.80706574155698, -53.9618686590605 47.62520701760193, -54.24048214376214 47.752279364607645, -55.40077307801157 46.884993801453135, -55.99748084168583 46.919720363953275, -55.29121904155279 47.38956248635099, -56.250798712780586 47.632545070987376, -57.32522925477708 47.57280711525797, -59.26601518414682 47.60334788674247, -59.419494188053676 47.899453843774886, -58.79658647320744 48.25152537697942, -59.23162451845657 48.52318838153781, -58.3918049790652 49.12558055276418, -57.35868974468606 50.71827403421587, -56.738650071832026 51.28743825947855, -55.87097693543532 51.63209422464921, -55.40697424988659 51.5882726100657, -55.600218268442056 51.31707469339794)), ((-83.88262630891977 65.10961782496354, -82.78757687043883 64.76669302027467, -81.6420137193926 64.45513580998697, -81.55344031444432 63.97960928003714, -80.81736121287886 64.057485663501, -80.10345130076664 63.72598135034862, -80.99101986359572 63.41124603947496, -82.54717810741704 63.65172231714521, -83.10879757356511 64.10187571883971, -84.10041663281388 63.569711819098, -85.52340471061905 63.052379055424055, -85.8667687649824 63.63725291610349, -87.22198320183678 63.54123810490519, -86.35275977247133 64.0358332383707, -86.2248864407651 64.82291697860823, -85.88384782585486 65.7387783881171, -85.1613079495499 65.6572846543928, -84.97576371940592 65.21751821558898, -84.4640120104195 65.37177236598022, -83.88262630891977 65.10961782496354)), ((-78.77063859731078 72.35217316353418, -77.8246239895596 72.74961660429098, -75.60584469267573 72.2436784939374, -74.228616095665 71.76714427355789, -74.09914079455771 71.33084015571758, -72.24222571479768 71.55692454699452, -71.20001542833518 70.92001251899718, -68.7860542466849 70.52502370877427, -67.91497046575694 70.12194753689765, -66.9690333726542 69.18608734809182, -68.8051228502006 68.72019847276444, -66.4498660956339 68.06716339789203, -64.86231441919524 67.84753856065159, -63.424934454996794 66.92847321234059, -61.851981370680605 66.86212067327783, -62.16317684594226 66.16025136988962, -63.918444383384184 64.9986685248329, -65.14886023625368 65.42603261988667, -66.72121904159852 66.38804108343219, -68.015016038674 66.26272573512439, -68.1412874009792 65.68978913030439, -67.08964616562342 65.10845510523696, -65.73208045109976 64.64840566675856, -65.32016760930125 64.38273712834605, -64.66940629744968 63.392926744227495, -65.01380388045888 62.67418508569598, -66.27504472519048 62.94509878198612, -68.7831862046927 63.74567007105183, -67.36968075221309 62.88396556258484, -66.32829728866726 62.28007477482201, -66.16556820338015 61.93089712182582, -68.87736650254465 62.330149237712824, -71.02343705919385 62.91070811629588, -72.23537858751902 63.39783600529522, -71.88627844917127 63.67998932560887, -73.37830624051838 64.19396312118384, -74.83441891142263 64.6790756293238, -74.81850257027673 64.38909332951793, -77.70997982452008 64.22954234481678, -78.5559488593542 64.57290639918013, -77.89728105336198 65.30919220647475, -76.01827429879717 65.32696889918314, -73.95979529488268 65.45476471624094, -74.29388342964964 65.81177134872938, -73.94491248238262 66.31057811142666, -72.65116716173942 67.28457550726391, -72.92605994331605 67.72692576768235, -73.31161780464572 68.06943716091287, -74.84330725777684 68.55462718370127, -76.86910091826672 68.89473562283025, -76.22864905465738 69.14776927354741, -77.28736996123715 69.76954010688321, -78.1686339993266 69.82648753526887, -78.95724219431673 70.16688019477543, -79.49245500356366 69.87180776638884, -81.30547095409176 69.74318512641436, -84.94470618359851 69.96663401964442, -87.06000342481789 70.26000112576538, -88.68171322300148 70.4107412787608, -89.51341956252303 70.76203766548095, -88.46772111688082 71.21818553332132, -89.88815121128755 71.22255219184997, -90.20516028518205 72.23507436796079, -89.436576707705 73.12946421985238, -88.40824154331287 73.53788890247121, -85.82615108920098 73.80381582304518, -86.56217851433412 73.15744700793844, -85.77437130404454 72.53412588163387, -84.85011247428822 73.34027822538708, -82.31559017610101 73.7509508328106, -80.60008765330768 72.71654368762417, -80.74894161652443 72.06190664335072, -78.77063859731078 72.35217316353418)), ((-94.50365759965237 74.13490672473922, -92.42001217321173 74.1000251329422, -90.50979285354263 73.85673248971206, -92.00396521682987 72.96624420845852, -93.19629553910026 72.77199249947334, -94.26904659704726 72.02459625923599, -95.40985551632266 72.06188080513458, -96.03374508338244 72.94027680123183, -96.01826799191102 73.43742991809582, -95.49579342322404 73.86241689726417, -94.50365759965237 74.13490672473922)), ((-122.85492448615902 76.11654287383568, -122.85492529360326 76.11654287383568, -121.15753536032824 76.86450755482828, -119.1039389718211 77.51221995717462, -117.570130784966 77.4983189968881, -116.19858659550738 77.6452867703262, -116.33581336145845 76.87696157501061, -117.10605058476882 76.53003184681911, -118.04041215703819 76.48117178008714, -119.89931758688572 76.053213406062, -121.49999507712648 75.90001862253276, -122.85492448615902 76.11654287383568)), ((-132.71000788443126 54.04000931542356, -131.74998958400334 54.12000438090922, -132.049480347351 52.98462148702447, -131.1790425218266 52.180432847698285, -131.57782954982298 52.18237071390928, -132.18042842677852 52.639707139692405, -132.54999243231384 53.100014960332146, -133.05461117875552 53.411468817755406, -133.2396644827927 53.851080227262344, -133.1800040417117 54.169975490935315, -132.71000788443126 54.04000931542356)), ((-105.4922891914932 79.30159393992916, -103.52928239623795 79.16534902619163, -100.8251580472688 78.80046173777872, -100.0601918200522 78.32475434031589, -99.67093909381364 77.90754466420744, -101.30394019245301 78.01898489044486, -102.94980872273302 78.34322866486023, -105.17613277873151 78.3803323432458, -104.21042945027713 78.67742015249176, -105.41958045125853 78.91833567983649, -105.4922891914932 79.30159393992916)), ((-123.51000158755119 48.51001089130341, -124.01289078839955 48.37084625914139, -125.65501277733838 48.8250045843385, -125.95499446679275 49.17999583596759, -126.85000443587185 49.53000031188043, -127.02999344954443 49.81499583597008, -128.0593363043662 49.9949590114266, -128.44458410710214 50.539137681676095, -128.35841365625546 50.77064809834371, -127.30858109602994 50.552573554071955, -126.69500097721235 50.400903225295394, -125.7550066738232 50.29501821552935, -125.4150015875588 49.95000051533259, -124.92076818911934 49.475274970083376, -123.92250870832106 49.06248362893581, -123.51000158755119 48.51001089130341)), ((-121.53787999999997 74.44893000000002, -120.10978 74.24135000000001, -117.55563999999993 74.18576999999993, -116.58442000000002 73.89607000000007, -115.51080999999999 73.47519, -116.76793999999995 73.22291999999999, -119.22000000000003 72.51999999999998, -120.45999999999998 71.82000000000005, -120.45999999999998 71.38360179308756, -123.09218999999996 70.90164000000004, -123.62 71.34000000000009, -125.92894873747338 71.86868846301138, -125.49999999999994 72.29226081179502, -124.80729000000002 73.02255999999994, -123.93999999999994 73.68000000000012, -124.91774999999996 74.29275000000013, -121.53787999999997 74.44893000000002)), ((-107.81943000000001 75.84552000000001, -106.92893000000001 76.01282, -105.881 75.96940000000001, -105.70498 75.47951, -106.31347000000001 75.00527, -109.70000000000002 74.85000000000001, -112.22306999999999 74.41696, -113.74381 74.39427, -113.87135 74.72029, -111.79420999999999 75.16250000000001, -116.31221 75.04343, -117.7104 75.2222, -116.34602000000001 76.19903000000001, -115.40487 76.47887, -112.59056000000001 76.14134, -110.81422 75.54919, -109.06710000000001 75.47321000000001, -110.49726000000001 76.42982, -109.58109999999999 76.79417, -108.54858999999999 76.67832000000001, -108.21141 76.20168000000001, -107.81943000000001 75.84552000000001)), ((-106.52258999999992 73.07601, -105.40245999999996 72.67259000000007, -104.77484000000004 71.6984000000001, -104.4647599999999 70.99297000000007, -102.78537 70.49776000000003, -100.98077999999992 70.02431999999999, -101.08928999999995 69.58447000000012, -102.73115999999993 69.50402000000003, -102.09329000000002 69.11962000000011, -102.43024000000003 68.75281999999999, -104.24000000000001 68.91000000000008, -105.96000000000004 69.18000000000012, -107.12254000000001 69.11922000000004, -108.99999999999994 68.78000000000003, -111.53414887520017 68.63005915681794, -113.31320000000005 68.53553999999997, -113.85495999999989 69.00744000000009, -115.22000000000003 69.28000000000009, -116.10793999999999 69.16821000000004, -117.34000000000003 69.9600000000001, -116.67472999999995 70.06655, -115.13112000000001 70.23730000000006, -113.72140999999999 70.1923700000001, -112.41610000000003 70.36637999999999, -114.35000000000002 70.60000000000002, -116.48684000000003 70.52044999999998, -117.90480000000002 70.54056000000014, -118.43238000000002 70.90920000000006, -116.11311 71.30917999999997, -117.65567999999996 71.29520000000002, -119.40199000000001 71.55858999999998, -118.56266999999997 72.30785000000003, -117.86641999999995 72.70594000000006, -115.18909000000002 73.31459000000012, -114.16716999999994 73.1214500000001, -114.66633999999999 72.65277000000009, -112.44101999999992 72.95540000000011, -111.05039 72.45040000000006, -109.92034999999993 72.96113000000008, -109.00653999999997 72.63335000000001, -108.18834999999996 71.65089, -107.68599 72.0654800000001, -108.39639 73.08953000000008, -107.51645000000002 73.23597999999998, -106.52258999999992 73.07601)), ((-100.43836 72.70588000000001, -101.54 73.36, -100.35642000000001 73.84389, -99.16387 73.63339, -97.38 73.76, -97.12 73.47, -98.05359 72.99052, -96.54 72.56, -96.72000000000001 71.66, -98.35966 71.27284999999999, -99.32286 71.35639, -100.01482 71.73827, -102.5 72.51, -102.48000000000002 72.83000000000001, -100.43836 72.70588000000001)), ((-106.6 73.60000000000001, -105.26 73.64, -104.5 73.42, -105.38000000000001 72.76, -106.94 73.46000000000001, -106.6 73.60000000000001)), ((-98.50000000000001 76.72, -97.735585 76.25656000000001, -97.70441500000001 75.74344, -98.16000000000001 75, -99.80874 74.89744, -100.88365999999999 75.05736, -100.86292000000002 75.64075, -102.50209 75.5638, -102.56552 76.3366, -101.48973 76.30537, -99.98349 76.64634, -98.57699 76.58859, -98.50000000000001 76.72)), ((-96.01644 80.60233000000001, -95.32345000000001 80.90729, -94.29843 80.97727, -94.73542 81.20646000000002, -92.40983999999999 81.25739000000003, -91.13288999999999 80.72345000000003, -89.45000000000002 80.50932203389831, -87.81 80.32000000000001, -87.02000000000001 79.66000000000001, -85.81435 79.3369, -87.18755999999999 79.0393, -89.03535000000001 78.28723, -90.80436 78.21533000000001, -92.87669000000001 78.34333000000001, -93.95116000000002 78.75099, -93.93574 79.11373, -93.14524 79.3801, -94.974 79.37248, -96.07614000000001 79.70502, -96.70972 80.15777, -96.01644 80.60233000000001)), ((-91.58702000000001 81.89429000000001, -90.10000000000001 82.08500000000004, -88.93227 82.11751000000001, -86.97024 82.27961, -85.5 82.65227345805702, -84.260005 82.60000000000001, -83.18 82.32, -82.42 82.86000000000001, -81.1 83.02, -79.30664 83.13056, -76.25 83.17205882352941, -75.71878000000001 83.06404000000002, -72.83153 83.23324000000001, -70.66576500000001 83.16978075838284, -68.50000000000001 83.10632151676572, -65.82735 83.02801000000001, -63.68 82.9, -61.85 82.62860000000002, -61.89388 82.36165000000001, -64.334 81.92775000000002, -66.75342 81.72527000000001, -67.65755 81.50141, -65.48031 81.50657000000002, -67.84 80.90000000000003, -69.4697 80.61683000000001, -71.18 79.8, -73.2428 79.63415, -73.88000000000001 79.43016220480206, -76.90773 79.32309000000001, -75.52924 79.19766000000001, -76.22046 79.01907, -75.39345 78.52581, -76.34354 78.18296000000001, -77.88851000000001 77.89991, -78.36269 77.50859000000001, -79.75951 77.20967999999999, -79.61965000000001 76.98336, -77.91089000000001 77.022045, -77.88911 76.777955, -80.56125 76.17812, -83.17439 76.45403, -86.11184 76.29901000000001, -87.60000000000001 76.42, -89.49068 76.47239, -89.6161 76.95213000000001, -87.76739 77.17833, -88.26 77.9, -87.65 77.97022222222223, -84.97634 77.53873, -86.34 78.18, -87.96191999999999 78.37181, -87.15198000000001 78.75867, -85.37868 78.99690000000001, -85.09495 79.34543000000001, -86.50734 79.73624, -86.93179 80.25145, -84.19844 80.20836, -83.40869565217389 80.10000000000001, -81.84823 80.46442, -84.1 80.58, -87.59895 80.51627, -89.36663 80.85569000000001, -90.2 81.26, -91.36786000000001 81.5531, -91.58702000000001 81.89429000000001)), ((-75.21597 67.44425, -75.86588 67.14886, -76.98687 67.09873, -77.2364 67.58809000000001, -76.81166 68.14856, -75.89521 68.28721, -75.11449999999999 68.01035999999999, -75.10333 67.58202, -75.21597 67.44425)), ((-96.25740120380055 69.49003035832177, -95.64768120380054 69.10769035832178, -96.26952120380055 68.75704035832177, -97.61740120380055 69.06003035832177, -98.43180120380055 68.95070035832177, -99.79740120380055 69.40003035832177, -98.91740120380055 69.71003035832177, -98.21826120380055 70.14354035832177, -97.15740120380055 69.86003035832177, -96.55740120380055 69.68003035832177, -96.25740120380055 69.49003035832177)), ((-64.51912 49.87304, -64.17322 49.95718, -62.858290000000004 49.70641, -61.835584999999995 49.28855, -61.806304999999995 49.10506000000001, -62.29318 49.08717, -63.589259999999996 49.400690000000004, -64.51912 49.87304)), ((-64.01486 47.03601, -63.6645 46.55001, -62.9393 46.41587, -62.012080000000005 46.44314, -62.503910000000005 46.033390000000004, -62.87433 45.968180000000004, -64.14280000000001 46.39265, -64.39261 46.72747, -64.01486 47.03601)))"
